nama_dosen,keahlian
"Dr.Firahmi Rizky,S.Kom.,M.Kom","Artificial Intilegence, Expert system"
"Indah Purnama Sari,S.T.,M.Kom","Computer Science, Web, Data Mining, Artificial Intelligence"
"Amrullah,S.Kom.,M.Kom","Artificial intelegency, Machine Learning, Criptography, Information System, Deep learning"
"Fatma Sari Hutagalung S.Kom.,M.Kom","Kecerdasan Buatan, Sistem Pendukung Keputusan, Data Base"
"Farid Akbar Siregar S.Kom.,M.Kom","Teknologi Informasi, Kriptografi, Decision Support System"
"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom","Computer Vision, Machine Learning, Educational Games, Data Science"
"Rizaldy Khair S.Kom.,M.Kom","Ilmu Komputer, Sistem Informasi, IOT, Software Engineering, Financial Technology"
"Ferdy Riza,S.T.,M.Kom",Cryptography Security System
"Yohanni Syahra,S.Si.,M.Kom","Data Mining, Sistem Pakar"
"Yoshida Sari,S.E.,S.Kom.,M.Kom","Sistem Informasi, Teknologi Informatika"
"Zuli Agustina Gultom,M.Si","Statistika, Data Science, Matematika"
"Mhd.Basri,S.Si.,M.Kom","Basis Data, Query, Sistem Informasi, Web Application, Mikrokontroler dan IoT"
"Martiano,S.Pd.,S.Kom.,M.Kom","Data Mining, Information, System, Audit System"
"DR.Irfan,M.Si","Akuntansi, Akuntansi Zakat, Akuntansi Zakat Korporat, Metodologi Penelitian"
"Mulkan Azhari,S.Kom.,M.Kom","Ilmu komputer, Teknologi Informasi, Sistem Informasi, Data Sains"
"Halim Maulana,S.T.,M.Kom","Security System, Cloud Computing, Management of IT Computer Forensics, Data Science"
"Dr.Al-khowarizmi,S.Kom.,M.Kom","Computer Science, Information Technology"
"Andi Zulherry,S.Kom.,M.Kom","Jaringan Komputer, Teknologi Open Source, Sistem Operasi"
"DR.Zainal Azis, M.Si","Matematika, Pendidikan Matematika, Aljabar, aplikasi pendidikan matematika, Pendidikan dan Pengajaran Matematika"
"Dr. Marah Doly Nasution, S.Pd.,M.Si","Pendidikan Matematika, Matematika Sains, Media Pembelajaran"
"Wilda Rina, S.T.,M.Kom",Teknologi Informasi
"dr.Guntur Rambey,S.H.,MH","ILMU HUKUM, HUKUM PIDANA"
"Dr.MHD Teguh Syuhada Lubis S.H.,M.H","Hukum Pidana, Hukum Acara Pidana, Hukum Pembuktian"
"Dr.Faisal,S.H.,M.Hum","Hukum Bisnis, Hukum Islam, Hukum wakaf dan Zakat"
"Rizka Syafrina, S.H.M.Kn",Hukum Perdata
"Burhanuddin, S.H.,M.H","Hukum HAM, Hukum KeluargaPeradilan"
"Dr.Andryan,S.H.,M.H","Hukum Tata Negara, Legal Drafting, Kebijakan Publik"
"Muklis,S.H.,M.H","Hukum Tata Negara, Hukum Hak Asasi Manusia"
"Dr.Ramlan,S.H.,M.H","Law, Civil Law, Private Law, Business Law, Company Law"
"Mirsa Astuti,S.H.,M.H","Hukum Internasional, Hukum Adat, Hukum Perdagangan Internasional"
"Dr.M. Syukran Yamin Lubis, S.H.,M.H",hukum 
"Dra.Salmi Abbas, MA",hukum bisnis
"Zainuddin, S.H., M.H","Hukum Tata Negara, Hukum Administrasi Negara."
"Nursariani Simatupang,S.H.,M.Hum",hukum
"Faisal,S.H.,M.H","Hukum Bisnis, Hukum Islam, Hukum wakaf dan Zakat"
"Dr.Ida Nadirah,S.H.,M.H",ilmu hukum
"Dr.H.Surya Perdana,S.H.,M.Hum",ilmu hukum
"Atikah, SH., M.H","Hukum, Hukum perlindungan Perempuan dan Anak, Hukum Waris"
"Nurul Hakim,S.Ag.,M.A",ilmu hukum
"Rabiah Z. Harahap, S.H.,M.H","Hukum, internasional, hukum adat, hukum kewirausahaan"
"Syofiaty Lubis,S.H.,M.H",hukum
"Dr.Lilawati Ginting S.H.,MK.n","hukum kontrak, hukum jaminan, hukum perlindungan konsumen, law, economy."
"Asliani Harahap,S.H.,M.H",hukum
"Lailatus Sururiyah,S.H.,M.A.","Ilmu Hukum, Hukum Perdata, Hukum Acara, Hukum Tata Negara"
"Harisman, S.H.,M.H",hukum
"Irfan,S.H.,M.Hum","Akuntansi, Akuntansi Zakat, Akuntansi Zakat Korporat, Metodologi Penelitian"
"Nurhilmiyah,S.H.,M.Hum","Hukum Perdata, Hukum Bisnis"
