judul,dosen
CLUSTERING JENIS SAYURAN DI DAERAH DESA SEMPAJAYA DENGAN ALGORITMA GAUSSIAN MIXTURE MODEL,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
SISTEM CERDAS PENGENDALIAN LAMPU BERBASIS IOT DENGAN LOGIKA FUZZY UNTUK EFISIENSI ENERGI,"Indah Purnama Sari,S.T.,M.Kom"
MONITORING ALAT HITUNG TETESAN INFUS DENGAN ESP32,"Amrullah,S.Kom.,M.Kom"
PREDIKSI PENJUALAN SUSU LANSIA DENGAN METODE WEIGHTED MOVING AVERAGE DI TOKO SUSU ASIA KING,"Fatma Sari Hutagalung S.Kom.,M.Kom"
PENGOLAHAN CITRA DIGITAL UNTUK PENGENALAN JENIS DAUN SEHAT BERBASIS FITUR WARNA DAN BENTUK MENGGUNAKAN ALGORITMA K-NEARE,"Farid Akbar Siregar S.Kom.,M.Kom"
PERBANDINGAN ALGORITMA K-MEANS CLUSTERING DAN FUZZY TSUKAMOTO UNTUK MENGELOMPOKKAN DATA SISWA SMP NU MEDAN BERDASARKAN PRESTASI AKADEMIK,"Amrullah,S.Kom.,M.Kom"
SISTEM IRIGASI CERDAS UNTUK TANAMAN GREENHOUSE MENGGUNAKAN LOGIKA FUZZY MAMDANI DAN PREDIKSI CUACA BERBASIS IOT,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
PREDIKSI PERMINTAAN LAYANAN GORIDE DI KOTA MEDAN MENGGUNAKAN ALGORITMA LINEAR REGRESSION DAN VISUALISASI PETA INTERAKTIF PADA DATA PERUSAHAAN GOJEK,"Rizaldy Khair S.Kom.,M.Kom"
PENERAPAN METODE COSINE SIMILARITY PADA SOAL TES PENERIMAAN KARYAWAN PT. DANA PURNA INVESTAMA,"Indah Purnama Sari,S.T.,M.Kom"
SISTEM KONTROL PERGANTIAN AIR PADA KOLAM BUDIDAYA IKAN LELE BERBASIS INTERNET OF THINGS,"Ferdy Riza,S.T.,M.Kom"
Analisa Pola Pembelian Konsumen Menggunakan Metode Association Rule Pada Data Transaksi Penjualan Dunia Vape,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
IMPLEMENTASI CHATBOT UNTUK MENINGKATKAN REALISME INTERAKSI NON PLAYABLE CHARACTER BERBASIS VIRTUAL,"Dr.Firahmi Rizky,S.Kom.,M.Kom"
IMPLEMENTASI SISTEM PENDUKUNG KEPUTUSAN BERBASIS IOT DENGAN METODE TOPSIS UNTUK PERINGATAN DINI POTENSI BENCANA BANJIR,"Yohanni Syahra,S.Si.,M.Kom"
SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN BIBIT UNGGUL KELAPA SAWIT DENGAN METODE FUZZY SAW,"Yoshida Sari,S.E.,S.Kom.,M.Kom"
PERBANDINGAN KINERJA ALGORITMA RANDOM FOREST DAN XGBOOST TERHADAP ANALISIS SENTIMEN APLIKASI E-COMMERCE,"Fatma Sari Hutagalung S.Kom.,M.Kom"
ANALISIS SENTIMEN PROGRAM PEMERINTAH MAKAN BERGIZI GRATIS MENGGUNAKAN METODE INDOBERT TRANSFORMER,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
RANCANG BANGUN SISTEM PARKIR MAHASISWA MENGGUNAKAN NFC UNTUK PENGELOLAAN AKSES KENDARAAN SEPEDA MOTOR DI KAMPUS UMSU,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
PERBANDINGAN ALGORITMA RANDOM FOREST DAN MULTIPLE LINEAR REGRESSION DALAM MEMPREDIKSI PENGELUARAN OBAT HARIAN STUDI KASUS PADA APOTEK BAMBUAN,"Zuli Agustina Gultom,M.Si"
PENERAPAN SPK PENENTUAN KECOCOKAN PUPUK DENGAN TANAMAN CABAI RAWIT CAPLAK MENGGUNAKAN METODE RULE BASED BERBASIS IOT,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
KLASIFIKASI DAUN HERBAL BERBASIS CITRA MENGGUNAKAN CONVOLUTIONAL NEURAL NETWORK (CNN) DENGAN HYPERPARAMETER TUNING RANDOM SEARCH,"Mahardika Abdi Prawira Tanjung S.Kom.,M.Kom"
APLIKASI PENDETEKSI OBJEK PADA CITRA MEDIS DENGAN DEEP LEARNING MENGGUNAKAN METODE VISION TRANSFORMER (VIT),"Fatma Sari Hutagalung S.Kom.,M.Kom"
PREDIKSI AKURASI TINGKAT KEHADIRAN PESERTA DIDIK MENGGUNAKAN METODE SINGLE EXPONENTIAL SMOOTHING: STUDI KASUS MIN 3 SERDANG BEDAGAI,"Rizaldy Khair S.Kom.,M.Kom"
SISTEM MONITORING KUALITAS AIR DAN PEMBERSIH OTOMATIS PADA TANDON AIR RUMAH TANGGA BERBASIS IOT,"Mhd.Basri,S.Si.,M.Kom"
ANALISIS PERBANDINGAN PERFORMA ARSITEKTUR VGG16 DAN RESNET50 DALAM KLASIFIKASI MULTI-KELAS PADA PENYAKIT TANAMAN PADI BERBASIS CONVOLUTIONAL NEURAL NETWORK (CNN),"Mhd.Basri,S.Si.,M.Kom"
PERANCANGAN SISTEM PENJADWALAN KEGIATAN BELAJAR MAHASISWA BERBASIS AI MENGGUNAKAN ALGORITMA GENETIKA DI FAKULTAS ILMU KOMPUTER DAN TEKNOLOGI INFORMASI,"Indah Purnama Sari,S.T.,M.Kom"
SISTEM MONITORING DAN PENGENDALI JARAK JAUH UNTUK OPTIMALISASI PERTANIAN BAWANG MERAH DI DESA KUTABATU 1 BERBASIS IOT,"Martiano,S.Pd.,S.Kom.,M.Kom"
